Año,Trimestre,Provincia,-30 Mbps,+ 30 Mbps,OTROS,Total,Fecha
2016,4,Tucumán,151621,10,0,151631,2016-10-01
2016,3,Buenos Aires,3107822,13318,0,3121140,2016-07-01
2016,3,Capital Federal,1247800,13886,0,1261686,2016-07-01
2016,3,Catamarca,26984,0,0,26984,2016-07-01
2016,3,Chaco,89199,217,0,89416,2016-07-01
2016,3,Chubut,80705,0,0,80705,2016-07-01
2016,3,Córdoba,643356,1322,0,644678,2016-07-01
2016,3,Corrientes,88136,210,0,88346,2016-07-01
2016,3,Entre Ríos,180978,248,0,181226,2016-07-01
2016,3,Formosa,29851,10,0,29861,2016-07-01
2016,3,Jujuy,42541,0,0,42541,2016-07-01
2016,3,La Pampa,66706,11,0,66717,2016-07-01
2016,3,La Rioja,16933,2,0,16935,2016-07-01
2016,3,Mendoza,178359,17,0,178376,2016-07-01
2016,3,Misiones,97907,91,0,97998,2016-07-01
2016,3,Neuquén,105801,225,0,106026,2016-07-01
2016,3,Río Negro,104672,99,0,104771,2016-07-01
2016,3,Salta,107768,50,0,107818,2016-07-01
2016,3,San Juan,58830,2,0,58832,2016-07-01
2016,3,San Luis,14089,2,0,14091,2016-07-01
2016,3,Santa Cruz,32397,0,0,32397,2016-07-01
2016,3,Santa Fe,566796,1308,0,568104,2016-07-01
2016,3,Santiago Del Estero,36592,0,0,36592,2016-07-01
2016,3,Tierra Del Fuego,35381,0,0,35381,2016-07-01
2016,3,Tucumán,151300,4,0,151304,2016-07-01
2016,2,Buenos Aires,3096582,11933,0,3108515,2016-04-01
2016,2,Capital Federal,1243825,13477,0,1257302,2016-04-01
2016,2,Catamarca,26603,1,0,26604,2016-04-01
2016,2,Chaco,88090,201,0,88291,2016-04-01
2016,2,Chubut,79846,0,0,79846,2016-04-01
2016,2,Córdoba,657808,1242,0,659050,2016-04-01
2016,2,Corrientes,86829,191,0,87020,2016-04-01
2016,2,Entre Ríos,189390,205,0,189595,2016-04-01
2016,2,Formosa,28826,10,0,28836,2016-04-01
2016,2,Jujuy,43496,0,0,43496,2016-04-01
2016,2,La Pampa,75203,11,0,75214,2016-04-01
2016,2,La Rioja,16741,5,0,16746,2016-04-01
2016,2,Mendoza,177499,20,0,177519,2016-04-01
2016,2,Misiones,96736,96,0,96832,2016-04-01
2016,2,Neuquén,104570,208,0,104778,2016-04-01
2016,2,Río Negro,105045,86,0,105131,2016-04-01
2016,2,Salta,109186,49,0,109235,2016-04-01
2016,2,San Juan,57872,4,0,57876,2016-04-01
2016,2,San Luis,13948,2,0,13950,2016-04-01
2016,2,Santa Cruz,32427,0,0,32427,2016-04-01
2016,2,Santa Fe,587254,1277,0,588531,2016-04-01
2016,2,Santiago Del Estero,37669,0,0,37669,2016-04-01
2016,2,Tierra Del Fuego,39075,0,0,39075,2016-04-01
2016,2,Tucumán,148924,2,0,148926,2016-04-01
2016,1,Buenos Aires,2865607,9529,0,2875136,2016-01-01
2016,1,Capital Federal,1292930,10838,0,1303768,2016-01-01
2016,1,Catamarca,26387,1,0,26388,2016-01-01
2016,1,Chaco,86466,184,0,86650,2016-01-01
2016,1,Chubut,78651,0,0,78651,2016-01-01
2016,1,Córdoba,610445,1039,0,611484,2016-01-01
2016,1,Corrientes,85364,170,0,85534,2016-01-01
2016,1,Entre Ríos,174368,165,0,174533,2016-01-01
2016,1,Formosa,28311,5,0,28316,2016-01-01
2016,1,Jujuy,40295,0,0,40295,2016-01-01
2016,1,La Pampa,63772,11,0,63783,2016-01-01
2016,1,La Rioja,16688,3,0,16691,2016-01-01
2016,1,Mendoza,175727,17,0,175744,2016-01-01
2016,1,Misiones,92859,68,0,92927,2016-01-01
2016,1,Neuquén,98282,171,0,98453,2016-01-01
2016,1,Río Negro,101840,81,0,101921,2016-01-01
2016,1,Salta,102040,31,0,102071,2016-01-01
2016,1,San Juan,56765,2,0,56767,2016-01-01
2016,1,San Luis,13658,2,0,13660,2016-01-01
2016,1,Santa Cruz,32393,0,0,32393,2016-01-01
2016,1,Santa Fe,550746,1063,0,551809,2016-01-01
2016,1,Santiago Del Estero,38394,0,0,38394,2016-01-01
2016,1,Tierra Del Fuego,33304,0,0,33304,2016-01-01
2016,1,Tucumán,146613,0,0,146613,2016-01-01
2015,4,Buenos Aires,2880068,8180,0,2888246,2015-10-01
2015,4,Capital Federal,1339549,10899,0,1350450,2015-10-01
2015,4,Catamarca,26470,1,0,26471,2015-10-01
2015,4,Chaco,86394,159,0,86553,2015-10-01
2015,4,Chubut,78448,0,0,78448,2015-10-01
2015,4,Córdoba,624841,1088,0,625929,2015-10-01
2015,4,Corrientes,85283,150,0,85433,2015-10-01
2015,4,Entre Ríos,174028,163,0,174191,2015-10-01
2015,4,Formosa,28087,4,0,28091,2015-10-01
2015,4,Jujuy,39925,0,0,39925,2015-10-01
2015,4,La Pampa,62469,10,0,62479,2015-10-01
2015,4,La Rioja,16929,3,0,16932,2015-10-01
2015,4,Mendoza,175067,13,0,175080,2015-10-01
2015,4,Misiones,92803,52,0,92855,2015-10-01
2015,4,Neuquén,101864,175,0,102039,2015-10-01
2015,4,Río Negro,101047,75,0,101122,2015-10-01
2015,4,Salta,101931,5,0,101936,2015-10-01
2015,4,San Juan,56156,2,0,56158,2015-10-01
2015,4,San Luis,13486,2,0,13488,2015-10-01
2015,4,Santa Cruz,32555,0,0,32555,2015-10-01
2015,4,Santa Fe,559015,1189,0,560204,2015-10-01
2015,4,Santiago Del Estero,39138,0,0,39138,2015-10-01
2015,4,Tierra Del Fuego,32963,0,0,32963,2015-10-01
2015,4,Tucumán,146080,0,0,146080,2015-10-01
2015,3,Buenos Aires,2848357,7720,0,2856078,2015-07-01
2015,3,Capital Federal,1331553,10022,0,1341574,2015-07-01
2015,3,Catamarca,26090,1,0,26091,2015-07-01
2015,3,Chaco,85217,157,0,85374,2015-07-01
2015,3,Chubut,78362,0,0,78362,2015-07-01
2015,3,Córdoba,621765,1048,0,622813,2015-07-01
2015,3,Corrientes,84813,146,0,84959,2015-07-01
2015,3,Entre Ríos,172334,153,0,172487,2015-07-01
2015,3,Formosa,27749,2,0,27751,2015-07-01
2015,3,Jujuy,39550,0,0,39550,2015-07-01
2015,3,La Pampa,61463,10,0,61473,2015-07-01
2015,3,La Rioja,16768,3,0,16771,2015-07-01
2015,3,Mendoza,173779,13,0,173792,2015-07-01
